identity_number,full_name,faculty,start_date,address
645591116,Jere Cressida,Psychology & Social Work,2001,"Lisbon, Luxembourg, 0101937"
547526213,Mariann Gino,Law & Public Policy,2018,"Kaohsiung, Zimbabwe, 7491807"
608551548,Audrie Ivens,Physical Sciences,2013,"Bangalore, Ethiopia, 8483654"
822263539,Iseabal Jalbert,Communications & Journalism,2010,"Miami, Botswana, 0484122"
894237407,Joeann Keily,Law & Public Policy,2014,"Enugu, Ireland, 8635627"
995262665,Lelah Gladstone,Humanities & Liberal Arts,2003,"Kyoto, Qatar, 7276802"
616069468,Desirae Gower,Agriculture & Natural Resources,2005,"Francistown, Brazil, 1427937"
885227800,Livvyy Leonard,Psychology & Social Work,2010,"Mandurah, Guatemala, 1709906"
863065553,Nikki Stanwood,Interdisciplinary,2007,"Bogotá, Lesotho, 4188195"
188219967,Netty Cassius,Interdisciplinary,2010,"Nanjing, Bahrain, 2344653"
467547610,Elbertina Hilbert,Engineering,2021,"Amsterdam, Trinidad and Tobago, 6777243"
619907703,Joane Stevy,Interdisciplinary,2008,"Porto Alegre, Libya, 1693356"
213784794,Priscilla Alcott,Industrial Arts & Consumer Services,2014,"Cannes, Spain, 4023234"
939560097,Cathyleen Hailee,Health,2013,"Lisbon, Malaysia, 9405506"
970138793,Yvonne Chabot,Humanities & Liberal Arts,2006,"Tórshavn, Colombia, 1229703"
447113480,Minda Sigfrid,Communications & Journalism,2014,"Bamako, Albania, 4353263"
018913426,Magdalena Schlosser,Physical Sciences,2003,"Copenhagen, Bolivia, 3898945"
953020087,Edee Jorgan,Humanities & Liberal Arts,2016,"Geelong, Cameroon, 8750929"
409737565,Angelique Granoff,Humanities & Liberal Arts,2020,"Shanghai, South Africa, 0915640"
452223395,Carmencita Charmine,Industrial Arts & Consumer Services,2016,"Vienna, Nicaragua, 8152131"
