"identity_number","full_name","faculty","start_date"
"184547133","Rosabelle Velick","Engineering","14/05/1996"
"280737597","Sallie Keily","Arts","01/03/2005"
"246470671","Eolanda Heidt","Health","11/12/2019"
"517585551","Janeczka Mauer","Industrial Arts & Consumer Services","25/09/2016"
"703364916","Bobbi Johnsson","Law & Public Policy","29/04/2021"
"530687407","Florencia Lacombe","Computers & Mathematics","15/09/2013"
"329622030","Luci Erskine","Communications & Journalism","05/02/2003"
"323665225","Jeanna Calhoun","Health","06/01/2020"
"912746867","Melina Engdahl","Humanities & Liberal Arts","13/07/1995"
"645688538","Glenda Stav","Physical Sciences","15/07/1999"
"971169962","Rosene Fillbert","Education","15/09/2013"
"506323173","Demetris Malanie","Interdisciplinary","01/10/1997"
"578230824","Dorice Deegan","Education","18/03/2016"
"801753249","Lacie Tacye","Arts","03/08/1996"
"764918299","Mildrid Jacobah","Agriculture & Natural Resources","21/05/2011"
"471650202","Netty Loleta","Industrial Arts & Consumer Services","04/07/2019"
"448741078","Sybille Brittani","Arts","04/07/1990"
"399784324","Georgetta Claudine","Psychology & Social Work","02/09/2004"
"535100591","Rochette Barrus","Health","21/06/1991"
"225449131","Sharai Raychel","Health","10/07/2000"
